order_id;product_id
1;3
1;7
2;6
2;7
2;8
2;9
3;1
3;7
4;3
4;7
5;3
11;8
48;1
50;4
38;8
47;4
27;8
44;2
16;7
10;2
16;6
48;8
24;6
7;3
45;3
48;7
31;3
14;1
44;4
24;8
38;4
13;6
33;3
36;8
48;6
25;3
44;5
20;3
6;6
13;8
7;2
6;9
35;1
7;5
38;3
31;7
49;7
23;5
12;9
21;6
44;3
12;8
17;9
19;6
11;3
26;8
34;9
34;8
39;5
9;2
27;6
14;9
19;9
20;10
19;7
5;9
7;8
23;1
5;10
45;6
48;9
30;8
37;9
42;8
24;9
19;3
38;2
17;8
35;2
17;1
38;5
34;2
41;9
48;5
29;9
32;3
29;3
20;5
41;8
42;5
42;4
11;2
5;8
48;3
25;1
41;4
33;7
46;2
19;8
9;8
